ratio  cap/low  exact BASE            (top forms)
1.00  1606/0          ТВОРЕЦ           (Творца:832, Творцом:288, Творец:242)
1.00   258/0          ГОСПОД           (Господь:220, Господи:27, Господу:6)
1.00   196/0          ЗОАР             (Зоар:189, Зоара:4, ЗОАР:3)
1.00    96/0          БААЛ             (Бааль:54, Бааля:41, Баалю:1)
1.00    90/0          АЦИЛУТ           (Ацилут:83, Ацилута:7)
1.00    84/0          АМЕН             (Амен:77, АМЕН:7)
1.00    78/0          ИСРАЭЛ           (Исраэль:71, Исраэля:6, Исраэлю:1)
1.00    70/0          ТОР              (Торы:39, Тору:19, Торе:7)
1.00    63/0          АНПИН            (Анпин:50, Анпина:10, АНПИН:2)
1.00    62/0          КАСТАНЕД         (Кастанеды:34, Кастанеда:18, Кастанеде:4)
1.00    59/0          РИШОН            (Ришон:59)
1.00    56/0    EX    !МАН             (МАН:56)
1.00    46/0          АНИБЕ            (Анибе:46)
1.00    36/0          ЗЕИР             (Зеир:35, ЗЕИР:1)
1.00    33/0          РОЗ              (Розы:19, Роза:9, Розой:3)
1.00    30/0          ЕВА              (Ева:13, Евы:6, Евой:6)
1.00    29/0          НИПНА            (Нипна:29)
1.00    26/0          КАРЛОС           (Карлоса:16, Карлос:7, Карлосом:3)
1.00    26/0          АТИК             (Атик:17, Атика:7, Атиком:1)
1.00    25/0    EX    !ГАР             (ГАР:25)
1.00    24/0    EX    !АВАЯ            (АВАЯ:24)
1.00    22/0          КАДМОН           (Кадмон:21, КАДМОН:1)
1.00    22/0          АШЛАГ            (Ашлага:15, Ашлаг:4, Ашлагом:3)
1.00    21/0          ЙОМИН            (Йомин:20, ЙОМИН:1)
1.00    20/0    EX    !АБ-САГ          (АБ-САГ:20)
1.00    18/0          ТУЛИЦ            (Тулица:17, Тулице:1)
1.00    18/0          ЙЕГУД            (Йегуды:14, Йегуда:4)
1.00    18/0          АРИХОВИЧ         (Арихович:18)
1.00    17/0          ТОРА             (Тора:17)
1.00    17/0          АСИЯ             (Асия:17)
1.00    16/0          ИМА              (Има:15, ИМА:1)
1.00    16/0    EX    !ЗАТ             (ЗАТ:16)
1.00    15/0          ШХИН             (Шхины:7, Шхина:5, Шхиной:2)
1.00    12/0          МАДА             (Мада:12)
1.00    12/0    EX    !ВАК             (ВАК:12)
1.00    12/0          АРИХ             (Арих:11, АРИХ:1)
1.00    11/0          ХОЗЕР            (Хозер:11)
1.00    11/0    EX    !ПВИ             (ПВИ:11)
1.00    11/0          ЛЕНОЧК           (Леночка:5, Леночкой:3, Леночке:1)
1.00    11/0          ИИСУС            (Иисус:8, Иисуса:3)
1.00    11/0          БИНОЙ            (Биной:11)
1.00    11/0          АЛЕВИ            (Алеви:11)
1.00    11/0    EX    !АВИ             (АВИ:11)
1.00    10/0    EX    !ПВР             (ПВР:10)
1.00    10/0    EX    !МЖОСИ           (МЖОСИ:10)
1.00    10/0          ЛЕЙБ             (Лейб:10)
1.00    10/0          БАРУХ            (Барух:7, Баруха:2, Барухом:1)
1.00    10/0          АНДРЮШ           (Андрюша:4, Андрюши:4, Андрюшу:1)
1.00     9/0          ЮГИАНН           (Югианна:3, Югианны:2, Югианной:2)
1.00     9/0          ШАМАТИ           (Шамати:9)
1.00     9/0          РАШБИ            (Рашби:5, РАШБИ:4)
1.00     9/0          РАВ              (Рава:6, Раву:3)
1.00     9/0          МАЛЕЙ            (Малей:9)
1.00     9/0    EX    !ККО             (ККО:9)
1.00     9/0          ЗОЛУШК           (Золушка:4, Золушке:3, Золушку:1)
1.00     9/0          БИБЛИ            (Библия:5, Библии:4)
1.00     8/0          ХРИСТ            (Христос:6, Христа:2)
1.00     8/0          ХЕНАРО           (Хенаро:8)
1.00     8/0          РАИС             (Раиса:5, Раисой:2, РАИСА:1)
1.00     8/0          РАВ              (Рав:7, Равом:1)
1.00     8/0          ПТИХ             (Птиха:6, Птихи:2)
1.00     8/0          ИЛЬ              (Илья:7, Ильи:1)
1.00     8/0          ДИМ              (Дима:4, Диме:3, Димой:1)
1.00     8/0          БНЕЙ             (Бней:8)
1.00     8/0          АВЕ              (Аве:8)
1.00     7/0          ЭЛИЯГУ           (Элиягу:7)
1.00     7/0          СУЛАМОМ          (Суламом:7)
1.00     7/0          МУН              (Муни:5, Муня:2)
1.00     7/0          КИТ              (Кит:4, Кита:3)
1.00     7/0          КАТ              (Кати:5, Катя:2)
1.00     7/0    EX    !ИШСУТ           (ИШСУТ:7)
1.00     7/0          ДУС              (Дуси:3, Дуся:3, Дусей:1)
1.00     7/0          БААЛЕМ           (Баалем:7)
1.00     7/0          АНЕЛЕ            (Анеле:7)
1.00     6/0          МАТУС            (Матус:5, Матусом:1)
1.00     6/0          ДУХОВНО-ПОЛОВОЙ  (Духовно-Половой:6)
1.00     6/0          ДААТ             (Даат:6)
1.00     6/0          АНДРЕ            (Андрей:3, Андрея:2, Андрею:1)
1.00     6/0          АВЕЛ             (Авель:3, Авелем:2, Авеля:1)
1.00     5/0          ТРОН             (Троне:3, Трон:1, Трона:1)
1.00     5/0          ТИГГС            (Тиггс:5)
1.00     5/0          МАШИАХА          (Машиаха:5)
1.00     5/0          ЕСОД             (Есод:5)
1.00     5/0          ВИКТОР           (Виктор:4, Виктора:1)
1.00     5/0          ВЕЛЕН            (Велена:4, Велены:1)
1.00     5/0          БИНЕ             (Бине:5)
1.00     5/0    EX    !АРИ             (АРИ:5)
1.00     4/0          ЭЛИЧКА           (Эличка:4)
1.00     4/0          ШИМОН            (Шимона:3, Шимон:1)
1.00     4/0          ЦЕЛЕМ            (ЦЕЛЕМа:2, Целема:1, Целемы:1)
1.00     4/0          ЦВАОТ            (Цваот:4)
1.00     4/0          ПУШКИНА          (Пушкина:4)
1.00     4/0          ПОВЕЛИТЕЛ        (Повелитель:3, Повелителя:1)
1.00     4/0          НАГВАЛЕ          (Нагвале:4)
1.00     4/0          МОИСЕ            (Моисея:3, Моисею:1)
1.00     4/0          МЕРФИ            (Мерфи:4)
1.00     4/0          МААЦИЛЯ          (Маациля:4)
1.00     4/0          МААСЕ            (Маасе:4)
1.00     4/0          ЛИЗ              (Лизе:2, Лиза:2)
1.00     4/0          КАЙ              (Кай:2, Каем:1, Каю:1)
1.00     4/0          ИЗРАИЛ           (Израиля:3, Израиль:1)
1.00     4/0          ИЕРУСАЛИМ        (ИЕРУСАЛИМА:1, Иерусалиму:1, Иерусалима:1)
1.00     4/0          ЗОАРЕ            (Зоаре:4)
